date,round,opponent,score,venue,city,country,attendance,lat,lon
2023-11-16,Second,Bangladesh,7-0,Melbourne Rectangular Stadium,Melbourne,Australia,20876,-37.8251,144.98374
2023-11-21,Second,Palestine,1-0,Jaber Al-Ahmad International Stadium,Jaber Al-Ahmad International Stadium,Kuwait,14537,29.27146,47.91878
2024-03-21,Second,Lebanon,2-0,CommBank Stadium,Sydney,Australia,27026,-33.80867,151.00073
2024-03-26,Second,Lebanon,5-0,GIO Stadium,Canberra,Australia,25023,-35.29759,149.10127
2024-06-06,Second,Bangladesh,2-0,Bashundhara Kings Arena,Dhaka,Bangladesh,5227,23.82402,90.46997
2024-06-11,Second,Palestine,5-0,HBF Park,Perth,Australia,18261,-31.94573,115.86992
2024-09-05,Third,Bahrain,0-1,Cbus Super Stadium,Gold Coast,Australia,24644,-28.0667,153.37866
2024-09-10,Third,Indonesia,0-0,Gelora Bung Karno Stadium,Jakarta,Indonesia,70059,-6.21861,106.80255
2024-10-10,Third,China,3-1,Adelaide Oval,Adelaide,Australia,46219,-34.91559,138.59616
2024-10-15,Third,Japan,1-1,Saitama Stadium 2002,Saitama,Japan,58730,35.90307,139.71761
2024-11-14,Third,Saudi Arabia,0-0,Melbourne Rectangular Stadium,Melbourne,Australia,27491,-37.8251,144.98374
2024-11-19,Third,Bahrain,2-2,Bahrain National Stadium,Riffa,Bahrain,6873,26.15361,50.54351
2025-03-20,Third,Indonesia,5-1,Allianz Stadium,Sydney,Australia,35241,-33.88916,151.22514
2025-03-25,Third,China,2-0,Hangzhou Olympic Sports Centre Stadium,Hangzhou,China PR,70588,30.24896,120.20523
2025-06-05,Third,Japan,1-0,Optus Stadium,Perth,Australia,57226,-31.95104,115.88908
2025-06-10,Third,Saudi Arabia,2-1,King Abdullah Sports City,Jeddah,Saudi Arabia,24620,21.55044,39.17424
